Index,mAP50
1,0.48874
2,0.40932
3,0.38671
4,0.35678
5,0.45666
6,0.46304
7,0.50231
8,0.47767
9,0.48908
10,0.48418
11,0.47462
12,0.48968
13,0.49553
14,0.56273
15,0.52634
16,0.56725
17,0.5557
18,0.57455
19,0.57562
20,0.59005
21,0.47799
22,0.45969
23,0.46893
24,0.47769
25,0.48593
26,0.48059
27,0.48183
28,0.51944
29,0.52384
30,0.55332
31,0.5308
32,0.53746
33,0.5582
34,0.55256
35,0.5627
36,0.56608
37,0.58073
38,0.58828
39,0.58949
40,0.59871
41,0.54869
42,0.50718
43,0.51603
44,0.51238
45,0.52294
46,0.53976
47,0.54272
48,0.53228
49,0.57196
50,0.55718
51,0.55251
52,0.55636
53,0.57749
54,0.57137
55,0.58597
56,0.57744
57,0.59534
58,0.58862
59,0.60512
60,0.60169
61,0.61512
62,0.60306
63,0.57516
64,0.57456
65,0.56715
66,0.59926
67,0.59544
68,0.61442
69,0.63623
70,0.62737
71,0.60638
72,0.61762
73,0.6173
74,0.61595
75,0.6293
76,0.62849
77,0.63836
78,0.63584
79,0.64987
80,0.64824
81,0.62767
82,0.60611
83,0.60992
84,0.60003
85,0.59886
86,0.60482
87,0.61458
88,0.62785
89,0.62021
90,0.63275
91,0.61703
92,0.62247
93,0.63085
94,0.63322
95,0.64693
96,0.63598
97,0.64687
98,0.65844
99,0.65641
100,0.6552
101,0.64755
102,0.62361
103,0.60137
104,0.62365
105,0.62305
106,0.61655
107,0.63119
108,0.64305
109,0.64143
110,0.64357
111,0.63296
112,0.63563
113,0.63828
114,0.64351
115,0.65201
116,0.6543
117,0.6666
118,0.66147
119,0.66113
120,0.66266
121,0.68039
122,0.66684
123,0.66332
124,0.66743
125,0.67293
126,0.66972
127,0.67412
128,0.6709
129,0.67721
130,0.67591
131,0.6712
132,0.67242
133,0.67576
134,0.67608
135,0.67988
136,0.68338
137,0.68353
138,0.68718
139,0.68484
140,0.68574
141,0.68568
142,0.67703
143,0.67426
144,0.66716
145,0.66605
146,0.67666
147,0.68003
148,0.68514
149,0.68402
150,0.68865
151,0.6783
152,0.68351
153,0.68262
154,0.68875
155,0.68878
156,0.68808
157,0.68738
158,0.6867
159,0.69101
160,0.69362
161,0.68704
162,0.68343
163,0.67728
164,0.68084
165,0.6776
166,0.68001
167,0.68859
168,0.68524
169,0.68839
170,0.69238
171,0.68592
172,0.6898
173,0.68431
174,0.68695
175,0.69166
176,0.68744
177,0.69176
178,0.69385
179,0.69358
180,0.69483
181,0.69292
182,0.68959
183,0.68172
184,0.68229
185,0.68624
186,0.68811
187,0.68094
188,0.69741
189,0.69141
190,0.69149
191,0.69184
192,0.68909
193,0.69149
194,0.68652
195,0.69262
196,0.70028
197,0.69959
198,0.69703
199,0.69958
200,0.70442
