                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3118,                 1.3823,                 1.1685,                 0.4746,                0.33991,                0.33721,                0.19825,                 1.4296,                 1.7829,                 1.1801,             0.00032576,             0.00032576,             0.00032576
                      2,                 1.3016,                 1.1377,                 1.1563,                0.38971,                0.32547,                0.30085,                0.17398,                 1.5133,                 1.6982,                 1.2537,             0.00062647,             0.00062647,             0.00062647
                      3,                 1.3375,                 1.1371,                 1.1791,                0.49771,                0.31036,                0.33388,                 0.1955,                 1.5145,                 1.6041,                 1.2573,             0.00089417,             0.00089417,             0.00089417
                      4,                  1.316,                  1.089,                 1.1817,                0.43711,                0.29949,                0.25984,                0.14439,                 1.6186,                 2.6798,                 1.3304,              0.0008515,              0.0008515,              0.0008515
                      5,                 1.3225,                 1.0409,                 1.1865,                0.50672,                0.32754,                0.35497,                0.19902,                 1.5144,                 1.6216,                 1.2718,              0.0008515,              0.0008515,              0.0008515
                      6,                 1.2761,                 1.0082,                 1.1633,                0.51076,                0.36386,                0.39757,                0.23699,                 1.4966,                 1.3679,                 1.2153,               0.000802,               0.000802,               0.000802
                      7,                 1.2562,                0.97839,                 1.1424,                0.60027,                0.35127,                0.38966,                0.23065,                 1.4866,                 1.3945,                 1.2311,              0.0007525,              0.0007525,              0.0007525
                      8,                 1.2458,                0.93343,                 1.1307,                0.54243,                0.40652,                0.44607,                0.26802,                 1.4393,                 1.2802,                 1.1912,               0.000703,               0.000703,               0.000703
                      9,                 1.2052,                0.90275,                 1.1122,                0.62123,                0.44144,                0.48046,                0.27421,                 1.4175,                 1.1445,                 1.1715,              0.0006535,              0.0006535,              0.0006535
                     10,                  1.183,                0.86164,                 1.1087,                0.58508,                0.39935,                0.45121,                0.26126,                 1.4455,                 1.2019,                 1.1896,               0.000604,               0.000604,               0.000604
                     11,                  1.183,                0.89489,                 1.1175,                0.57695,                0.38708,                0.41302,                 0.2437,                  1.452,                 1.2902,                 1.2043,              0.0005545,              0.0005545,              0.0005545
                     12,                 1.1687,                0.85357,                 1.1043,                0.63835,                0.39334,                0.46089,                0.28152,                 1.4341,                 1.1919,                 1.1812,               0.000505,               0.000505,               0.000505
                     13,                 1.1579,                0.82665,                 1.0971,                0.67305,                0.38222,                0.45352,                0.27786,                 1.4203,                 1.1191,                 1.1858,              0.0004555,              0.0004555,              0.0004555
                     14,                 1.1298,                0.80319,                 1.0875,                0.59897,                0.42301,                0.47149,                0.28356,                 1.4259,                 1.1438,                 1.1825,               0.000406,               0.000406,               0.000406
                     15,                 1.1062,                0.77384,                 1.0619,                0.58669,                0.41776,                0.45579,                0.27212,                  1.384,                 1.1398,                 1.1719,              0.0003565,              0.0003565,              0.0003565
                     16,                 1.0781,                0.74629,                 1.0579,                0.67983,                0.45338,                0.50045,                0.29901,                 1.3835,                 1.0683,                 1.1773,               0.000307,               0.000307,               0.000307
                     17,                 1.0677,                0.72793,                 1.0554,                 0.6446,                0.44675,                0.49946,                0.31025,                 1.3629,                 1.0746,                 1.1695,              0.0002575,              0.0002575,              0.0002575
                     18,                 1.0428,                 0.6917,                 1.0429,                0.69676,                0.40996,                0.49443,                0.31033,                 1.3651,                 1.0433,                 1.1787,               0.000208,               0.000208,               0.000208
                     19,                 1.0101,                0.67126,                 1.0227,                0.68551,                 0.4298,                0.50771,                0.32003,                 1.3533,                 1.0307,                 1.1756,              0.0001585,              0.0001585,              0.0001585
                     20,                0.99767,                 0.6572,                 1.0156,                0.64294,                0.45629,                0.52196,                0.32561,                 1.3297,                 1.0342,                 1.1559,               0.000109,               0.000109,               0.000109
