                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0508,                0.70447,                 1.0139,                0.75481,                0.50374,                0.59064,                0.37832,                 1.2205,                0.92934,                 1.0907,             0.00033081,             0.00033081,             0.00033081
                      2,                 1.0947,                0.75316,                 1.0396,                0.68453,                0.48678,                0.55031,                0.33978,                 1.2269,                0.98788,                 1.0875,             0.00063127,             0.00063127,             0.00063127
                      3,                 1.1415,                0.80562,                 1.0561,                0.60844,                0.50514,                0.54367,                0.33392,                 1.2616,                 1.0159,                 1.1057,             0.00089872,             0.00089872,             0.00089872
                      4,                 1.1393,                0.80813,                 1.0537,                 0.6814,                0.50406,                0.57445,                0.35993,                 1.2215,                0.97837,                 1.0879,              0.0008515,              0.0008515,              0.0008515
                      5,                 1.1406,                0.79978,                 1.0596,                0.69403,                0.51644,                0.57988,                0.36686,                  1.225,                0.94797,                 1.0881,              0.0008515,              0.0008515,              0.0008515
                      6,                  1.132,                0.78728,                 1.0525,                0.68638,                0.52977,                0.58701,                0.36467,                 1.2431,                0.94211,                  1.089,               0.000802,               0.000802,               0.000802
                      7,                  1.112,                0.76324,                  1.043,                0.68503,                0.51193,                0.57391,                0.36459,                 1.2245,                0.93028,                 1.0801,              0.0007525,              0.0007525,              0.0007525
                      8,                 1.0999,                0.75299,                 1.0421,                0.64584,                 0.5632,                0.58995,                0.37319,                 1.2116,                0.90891,                 1.0821,               0.000703,               0.000703,               0.000703
                      9,                 1.0731,                0.72313,                 1.0297,                0.71148,                0.52982,                0.60182,                0.37885,                 1.2052,                0.90407,                 1.0768,              0.0006535,              0.0006535,              0.0006535
                     10,                  1.068,                0.71396,                 1.0251,                 0.7113,                0.54194,                0.60281,                0.37629,                 1.2165,                0.90446,                  1.079,               0.000604,               0.000604,               0.000604
                     11,                  1.082,                0.71821,                  1.034,                0.75568,                0.51528,                  0.594,                 0.3699,                 1.2221,                0.92318,                 1.0825,              0.0005545,              0.0005545,              0.0005545
                     12,                 1.0694,                0.70106,                 1.0306,                0.79597,                0.50916,                0.61204,                0.38882,                 1.2115,                0.88895,                 1.0875,               0.000505,               0.000505,               0.000505
                     13,                 1.0494,                0.67714,                  1.018,                0.78015,                0.52192,                0.61945,                0.39827,                 1.1865,                0.88063,                 1.0675,              0.0004555,              0.0004555,              0.0004555
                     14,                 1.0281,                0.66253,                 1.0122,                0.73679,                0.56551,                0.62486,                0.40157,                 1.1898,                 0.8666,                 1.0731,               0.000406,               0.000406,               0.000406
                     15,                 1.0193,                0.65277,                 1.0038,                0.73707,                 0.5485,                0.61484,                0.39983,                 1.1793,                0.86018,                 1.0645,              0.0003565,              0.0003565,              0.0003565
                     16,                0.99225,                0.62415,                0.99003,                0.75625,                0.53711,                0.62078,                0.39872,                  1.185,                0.87378,                 1.0685,               0.000307,               0.000307,               0.000307
                     17,                0.97827,                0.60519,                0.98832,                0.75408,                0.56856,                0.64011,                0.41328,                 1.1668,                0.84413,                 1.0632,              0.0002575,              0.0002575,              0.0002575
                     18,                0.96237,                 0.5892,                0.98017,                0.76308,                0.57276,                0.64638,                0.41889,                  1.159,                0.81544,                 1.0616,               0.000208,               0.000208,               0.000208
                     19,                0.94201,                0.57502,                0.96993,                0.74872,                0.58689,                0.65466,                0.42651,                 1.1413,                0.80515,                 1.0537,              0.0001585,              0.0001585,              0.0001585
                     20,                0.92473,                0.55546,                0.96189,                0.75606,                0.59034,                0.64853,                0.42187,                 1.1466,                0.82191,                 1.0586,               0.000109,               0.000109,               0.000109
