Index,mAP50
1,0.40614
2,0.39914
3,0.32161
4,0.3283
5,0.35326
6,0.37783
7,0.4147
8,0.45925
9,0.48223
10,0.4963
11,0.47636
12,0.45412
13,0.46098
14,0.49471
15,0.47417
16,0.52858
17,0.51608
18,0.52874
19,0.53077
20,0.5327
21,0.4874
22,0.44887
23,0.46231
24,0.44403
25,0.48552
26,0.50622
27,0.47345
28,0.51528
29,0.52866
30,0.5349
31,0.52205
32,0.52153
33,0.53347
34,0.52589
35,0.55851
36,0.56799
37,0.5734
38,0.57125
39,0.5888
40,0.58837
41,0.58993
42,0.55927
43,0.54874
44,0.53765
45,0.56604
46,0.56235
47,0.57007
48,0.56858
49,0.57505
50,0.59692
51,0.5807
52,0.58769
53,0.59059
54,0.60081
55,0.59664
56,0.61675
57,0.62753
58,0.62795
59,0.63685
60,0.63788
61,0.61971
62,0.58448
63,0.56814
64,0.60171
65,0.56739
66,0.59364
67,0.61599
68,0.60177
69,0.6235
70,0.62973
71,0.60648
72,0.61021
73,0.62602
74,0.63377
75,0.63881
76,0.64201
77,0.64718
78,0.64702
79,0.64703
80,0.65576
81,0.63543
82,0.61764
83,0.61368
84,0.61884
85,0.61408
86,0.61991
87,0.6248
88,0.6149
89,0.64019
90,0.63972
91,0.64616
92,0.64437
93,0.63631
94,0.64366
95,0.64631
96,0.65171
97,0.65875
98,0.65934
99,0.65047
100,0.66128
101,0.62326
102,0.60616
103,0.59627
104,0.5969
105,0.59082
106,0.59777
107,0.61703
108,0.60446
109,0.64318
110,0.63156
111,0.62788
112,0.6332
113,0.62899
114,0.63966
115,0.65149
116,0.64767
117,0.65809
118,0.65639
119,0.66588
120,0.67166
121,0.6648
122,0.65176
123,0.6425
124,0.64366
125,0.6413
126,0.64769
127,0.65325
128,0.65035
129,0.65411
130,0.66195
131,0.65706
132,0.64865
133,0.65428
134,0.65944
135,0.65057
136,0.66336
137,0.65861
138,0.66481
139,0.67242
140,0.67216
141,0.66134
142,0.65962
143,0.65099
144,0.65654
145,0.65287
146,0.66242
147,0.66084
148,0.66596
149,0.66807
150,0.66742
151,0.65324
152,0.6604
153,0.66352
154,0.66416
155,0.66314
156,0.6698
157,0.67236
158,0.67083
159,0.67105
160,0.67326
161,0.67157
162,0.65384
163,0.64852
164,0.66751
165,0.64514
166,0.66647
167,0.66239
168,0.66501
169,0.66557
170,0.67226
171,0.66477
172,0.65571
173,0.66406
174,0.67593
175,0.67883
176,0.68132
177,0.67961
178,0.68348
179,0.6798
180,0.68349
181,0.68129
182,0.67056
183,0.66789
184,0.67498
185,0.66437
186,0.67256
187,0.66236
188,0.67076
189,0.67739
190,0.67873
191,0.67123
192,0.67618
193,0.67459
194,0.67431
195,0.67194
196,0.67571
197,0.6798
198,0.6856
199,0.68573
200,0.68477
