Index,mAP50
1,0.39821
2,0.29527
3,0.29837
4,0.31868
5,0.35228
6,0.34081
7,0.3627
8,0.42511
9,0.42158
10,0.43593
11,0.44063
12,0.43546
13,0.46585
14,0.46631
15,0.47207
16,0.46581
17,0.49723
18,0.49424
19,0.50381
20,0.49913
21,0.45002
22,0.43913
23,0.41198
24,0.40278
25,0.40619
26,0.40182
27,0.4734
28,0.47755
29,0.4571
30,0.50593
31,0.45452
32,0.46976
33,0.47755
34,0.47909
35,0.4891
36,0.50952
37,0.51377
38,0.52462
39,0.52849
40,0.53953
41,0.53247
42,0.4848
43,0.48967
44,0.493
45,0.48537
46,0.49692
47,0.50433
48,0.50348
49,0.51113
50,0.53484
51,0.50153
52,0.51898
53,0.52949
54,0.54995
55,0.54639
56,0.55292
57,0.55698
58,0.57037
59,0.57191
60,0.58102
61,0.57217
62,0.55069
63,0.51663
64,0.49707
65,0.52591
66,0.52706
67,0.54894
68,0.54546
69,0.55619
70,0.56692
71,0.54787
72,0.55917
73,0.56044
74,0.5783
75,0.57267
76,0.58925
77,0.58422
78,0.59291
79,0.58809
80,0.59495
81,0.57773
82,0.55163
83,0.55924
84,0.5381
85,0.55953
86,0.55845
87,0.57368
88,0.58227
89,0.5792
90,0.57099
91,0.57291
92,0.56514
93,0.58822
94,0.59062
95,0.59187
96,0.59548
97,0.60614
98,0.59949
99,0.60717
100,0.60792
101,0.60927
102,0.58167
103,0.56161
104,0.58125
105,0.56408
106,0.58293
107,0.5995
108,0.59936
109,0.60273
110,0.61909
111,0.6106
112,0.61021
113,0.60159
114,0.60152
115,0.60066
116,0.60687
117,0.62033
118,0.62246
119,0.63377
120,0.63149
121,0.62796
122,0.60785
123,0.59665
124,0.60762
125,0.59916
126,0.60597
127,0.61411
128,0.61252
129,0.61577
130,0.61239
131,0.60003
132,0.62094
133,0.62504
134,0.62032
135,0.62306
136,0.62255
137,0.63339
138,0.64135
139,0.63557
140,0.64036
141,0.63081
142,0.63167
143,0.63147
144,0.62064
145,0.61941
146,0.61776
147,0.62681
148,0.62975
149,0.62831
150,0.63461
151,0.62989
152,0.62678
153,0.63127
154,0.63319
155,0.63937
156,0.63603
157,0.64002
158,0.64459
159,0.64909
160,0.64792
161,0.64508
162,0.64113
163,0.62759
164,0.62274
165,0.61791
166,0.62348
167,0.62896
168,0.6349
169,0.63702
170,0.6427
171,0.63447
172,0.62916
173,0.6367
174,0.64421
175,0.6462
176,0.64681
177,0.64428
178,0.65102
179,0.65456
180,0.65338
181,0.64793
182,0.6351
183,0.62478
184,0.62257
185,0.63224
186,0.62617
187,0.62871
188,0.64346
189,0.64185
190,0.6399
191,0.63704
192,0.64043
193,0.64225
194,0.63829
195,0.64556
196,0.64455
197,0.65258
198,0.65431
199,0.65451
200,0.65771
