Index,mAP50
1,0.30763
2,0.36397
3,0.36585
4,0.39644
5,0.39212
6,0.3657
7,0.33953
8,0.35224
9,0.31007
10,0.35041
11,0.32762
12,0.3531
13,0.37272
14,0.35822
15,0.37153
16,0.3858
17,0.3928
18,0.39653
19,0.41067
20,0.4266
21,0.39455
22,0.40038
23,0.3693
24,0.38119
25,0.39506
26,0.36287
27,0.3835
28,0.36259
29,0.3643
30,0.38792
31,0.35504
32,0.37984
33,0.38442
34,0.41374
35,0.41745
36,0.43584
37,0.44245
38,0.44796
39,0.45396
40,0.46065
41,0.38279
42,0.3846
43,0.37523
44,0.37867
45,0.39048
46,0.34093
47,0.38971
48,0.34794
49,0.34055
50,0.35494
51,0.38367
52,0.40653
53,0.41328
54,0.41183
55,0.41253
56,0.4159
57,0.43204
58,0.42765
59,0.43769
60,0.44973
61,0.42338
62,0.39397
63,0.39825
64,0.36268
65,0.37224
66,0.36311
67,0.36471
68,0.37735
69,0.41827
70,0.39341
71,0.3926
72,0.39491
73,0.39489
74,0.41237
75,0.40794
76,0.41864
77,0.43023
78,0.44046
79,0.45596
80,0.46256
81,0.44592
82,0.42273
83,0.43222
84,0.41116
85,0.40881
86,0.42357
87,0.41906
88,0.4291
89,0.43708
90,0.43375
91,0.41324
92,0.43887
93,0.43216
94,0.44057
95,0.46616
96,0.47018
97,0.47554
98,0.48026
99,0.48098
100,0.48093
101,0.46032
102,0.44288
103,0.41201
104,0.44124
105,0.43359
106,0.43113
107,0.43282
108,0.43783
109,0.46303
110,0.46274
111,0.44556
112,0.4625
113,0.45413
114,0.46429
115,0.48543
116,0.47797
117,0.48318
118,0.49395
119,0.49331
120,0.50018
121,0.4932
122,0.48606
123,0.45782
124,0.47926
125,0.44182
126,0.45577
127,0.46601
128,0.47519
129,0.47108
130,0.49711
131,0.48104
132,0.48883
133,0.49173
134,0.48653
135,0.50322
136,0.50568
137,0.51891
138,0.51443
139,0.51401
140,0.52163
141,0.52418
142,0.49697
143,0.47617
144,0.47836
145,0.48969
146,0.48419
147,0.46432
148,0.50245
149,0.49478
150,0.50747
151,0.48766
152,0.49638
153,0.50759
154,0.51978
155,0.52208
156,0.5231
157,0.53216
158,0.52799
159,0.53282
160,0.53682
161,0.51688
162,0.50553
163,0.5088
164,0.48619
165,0.49248
166,0.48672
167,0.50495
168,0.49951
169,0.51453
170,0.50963
171,0.49292
172,0.5077
173,0.50756
174,0.51309
175,0.52061
176,0.52523
177,0.52866
178,0.53306
179,0.53268
180,0.53991
181,0.53823
182,0.52203
183,0.50613
184,0.5069
185,0.48992
186,0.50953
187,0.49441
188,0.51675
189,0.51138
190,0.52159
191,0.51836
192,0.52793
193,0.51522
194,0.51948
195,0.53289
196,0.53338
197,0.53734
198,0.53806
199,0.54733
200,0.54739
