Index,mAP50
1,0.39292
2,0.36838
3,0.37068
4,0.33748
5,0.376
6,0.42641
7,0.39869
8,0.45656
9,0.49767
10,0.50239
11,0.48068
12,0.45681
13,0.4693
14,0.51533
15,0.48532
16,0.54193
17,0.52241
18,0.55523
19,0.55944
20,0.57085
21,0.5505
22,0.49685
23,0.48354
24,0.50789
25,0.52435
26,0.51419
27,0.53531
28,0.52428
29,0.53127
30,0.56263
31,0.52848
32,0.53976
33,0.56667
34,0.5556
35,0.58756
36,0.58579
37,0.60115
38,0.61173
39,0.60235
40,0.61748
41,0.59354
42,0.54535
43,0.53513
44,0.53529
45,0.56042
46,0.58206
47,0.57658
48,0.58789
49,0.60043
50,0.5955
51,0.58042
52,0.58794
53,0.60021
54,0.59942
55,0.61478
56,0.63324
57,0.63397
58,0.62313
59,0.62501
60,0.63043
61,0.61808
62,0.60528
63,0.56577
64,0.57931
65,0.57993
66,0.61091
67,0.57871
68,0.61828
69,0.6238
70,0.61341
71,0.62728
72,0.60352
73,0.61551
74,0.63151
75,0.63242
76,0.6459
77,0.64289
78,0.64842
79,0.65367
80,0.65354
81,0.64274
82,0.62047
83,0.60327
84,0.61589
85,0.61365
86,0.62112
87,0.61529
88,0.63914
89,0.62689
90,0.64016
91,0.64725
92,0.64382
93,0.63965
94,0.64542
95,0.6427
96,0.66305
97,0.65982
98,0.6631
99,0.66068
100,0.66647
101,0.6536
102,0.62969
103,0.63993
104,0.6268
105,0.63362
106,0.62946
107,0.631
108,0.64613
109,0.64363
110,0.6499
111,0.64664
112,0.63496
113,0.64916
114,0.65282
115,0.65634
116,0.65775
117,0.65874
118,0.66638
119,0.66394
120,0.66666
121,0.66444
122,0.64651
123,0.6481
124,0.64623
125,0.65731
126,0.63589
127,0.65746
128,0.64545
129,0.65612
130,0.64802
131,0.64564
132,0.65493
133,0.65226
134,0.65554
135,0.66087
136,0.66125
137,0.65746
138,0.6652
139,0.6652
140,0.67188
141,0.67361
142,0.65759
143,0.65143
144,0.65791
145,0.66092
146,0.65935
147,0.65686
148,0.66697
149,0.66393
150,0.67305
151,0.66234
152,0.65912
153,0.66017
154,0.6663
155,0.66703
156,0.66842
157,0.66681
158,0.66746
159,0.68047
160,0.67587
161,0.67801
162,0.66331
163,0.64847
164,0.66432
165,0.66047
166,0.6738
167,0.67321
168,0.67815
169,0.67346
170,0.68013
171,0.67567
172,0.67775
173,0.67868
174,0.67953
175,0.67934
176,0.68005
177,0.68095
178,0.67916
179,0.6811
180,0.68145
181,0.68253
182,0.67322
183,0.6782
184,0.67578
185,0.66537
186,0.67283
187,0.67197
188,0.67295
189,0.68331
190,0.68097
191,0.67792
192,0.67687
193,0.68579
194,0.68301
195,0.68306
196,0.68394
197,0.68207
198,0.68351
199,0.6922
200,0.69231
