Index,mAP50
1,0.43459
2,0.35798
3,0.33411
4,0.42473
5,0.358
6,0.42565
7,0.45487
8,0.41723
9,0.48953
10,0.50619
11,0.47065
12,0.49388
13,0.48611
14,0.52021
15,0.51478
16,0.5323
17,0.51324
18,0.55864
19,0.55631
20,0.56904
21,0.51093
22,0.49264
23,0.419
24,0.49785
25,0.51854
26,0.51576
27,0.49517
28,0.54395
29,0.53323
30,0.53757
31,0.5344
32,0.53346
33,0.53702
34,0.58218
35,0.56105
36,0.57918
37,0.5751
38,0.58173
39,0.58718
40,0.58963
41,0.56857
42,0.53404
43,0.49298
44,0.53246
45,0.54123
46,0.54194
47,0.57048
48,0.56175
49,0.58323
50,0.58974
51,0.55279
52,0.5829
53,0.58779
54,0.58491
55,0.59682
56,0.59306
57,0.59241
58,0.6035
59,0.61732
60,0.61809
61,0.61702
62,0.61279
63,0.57464
64,0.59217
65,0.57616
66,0.59044
67,0.61097
68,0.60965
69,0.62603
70,0.63045
71,0.61722
72,0.61228
73,0.61435
74,0.62559
75,0.6327
76,0.64459
77,0.638
78,0.64685
79,0.64938
80,0.65079
81,0.64614
82,0.62529
83,0.616
84,0.6349
85,0.62072
86,0.62084
87,0.63618
88,0.6308
89,0.63662
90,0.6441
91,0.64248
92,0.64793
93,0.65805
94,0.64739
95,0.66395
96,0.66318
97,0.66569
98,0.66233
99,0.66742
100,0.67102
101,0.64899
102,0.64748
103,0.6187
104,0.6277
105,0.63528
106,0.64194
107,0.64652
108,0.64029
109,0.64654
110,0.64929
111,0.6491
112,0.66204
113,0.64663
114,0.65811
115,0.66267
116,0.66825
117,0.66498
118,0.67096
119,0.66873
120,0.67146
121,0.66278
122,0.64286
123,0.63617
124,0.6388
125,0.64825
126,0.64864
127,0.64599
128,0.63752
129,0.6557
130,0.66465
131,0.65703
132,0.6535
133,0.66593
134,0.67268
135,0.66382
136,0.65941
137,0.67451
138,0.66825
139,0.67297
140,0.67439
141,0.66827
142,0.65902
143,0.65174
144,0.65277
145,0.64023
146,0.65148
147,0.65925
148,0.66876
149,0.67592
150,0.66582
151,0.66257
152,0.66041
153,0.66463
154,0.67473
155,0.66555
156,0.67451
157,0.67426
158,0.67978
159,0.67843
160,0.68129
161,0.6779
162,0.66474
163,0.6622
164,0.6614
165,0.67552
166,0.66789
167,0.66159
168,0.66849
169,0.67675
170,0.67884
171,0.66407
172,0.67152
173,0.67655
174,0.67872
175,0.68047
176,0.68675
177,0.68708
178,0.68726
179,0.6889
180,0.69319
181,0.68226
182,0.67006
183,0.67332
184,0.66889
185,0.66038
186,0.67023
187,0.67955
188,0.67729
189,0.67466
190,0.68191
191,0.68369
192,0.67661
193,0.68323
194,0.68393
195,0.68257
196,0.68835
197,0.68768
198,0.68986
199,0.6938
200,0.69623
