Index,mAP50
1,0.45586
2,0.36739
3,0.32698
4,0.40947
5,0.39103
6,0.40491
7,0.4588
8,0.46503
9,0.46873
10,0.51541
11,0.47037
12,0.48305
13,0.48863
14,0.51849
15,0.51842
16,0.52281
17,0.55143
18,0.53018
19,0.57802
20,0.58213
21,0.537
22,0.51527
23,0.48391
24,0.51676
25,0.55584
26,0.56068
27,0.54764
28,0.57083
29,0.59035
30,0.58309
31,0.58853
32,0.58429
33,0.57054
34,0.59006
35,0.60245
36,0.61768
37,0.61757
38,0.61873
39,0.63966
40,0.64276
41,0.61599
42,0.60264
43,0.59226
44,0.60242
45,0.58098
46,0.60276
47,0.60997
48,0.61361
49,0.63764
50,0.64105
51,0.62636
52,0.62988
53,0.63823
54,0.64153
55,0.65256
56,0.65754
57,0.66074
58,0.67259
59,0.67242
60,0.67276
61,0.66084
62,0.618
63,0.61672
64,0.64181
65,0.60668
66,0.63469
67,0.63545
68,0.645
69,0.64672
70,0.64017
71,0.63451
72,0.65464
73,0.64099
74,0.66087
75,0.65537
76,0.66845
77,0.67646
78,0.67259
79,0.68501
80,0.68264
81,0.66416
82,0.64811
83,0.62076
84,0.62878
85,0.63208
86,0.62276
87,0.63532
88,0.6412
89,0.65034
90,0.66172
91,0.6631
92,0.65524
93,0.65575
94,0.65477
95,0.66998
96,0.66579
97,0.67361
98,0.68346
99,0.68162
100,0.68329
101,0.67097
102,0.6604
103,0.65514
104,0.64774
105,0.64914
106,0.6535
107,0.67118
108,0.6584
109,0.66216
110,0.67511
111,0.66097
112,0.66223
113,0.66746
114,0.67592
115,0.68363
116,0.68487
117,0.68151
118,0.68744
119,0.68766
120,0.69143
121,0.6787
122,0.66852
123,0.67099
124,0.66225
125,0.66901
126,0.67362
127,0.67033
128,0.66033
129,0.68104
130,0.68164
131,0.6692
132,0.66681
133,0.6678
134,0.6765
135,0.67686
136,0.68685
137,0.68867
138,0.6849
139,0.68344
140,0.68752
141,0.67993
142,0.6602
143,0.67225
144,0.67117
145,0.66171
146,0.66807
147,0.67233
148,0.67562
149,0.68178
150,0.6852
151,0.67157
152,0.67437
153,0.67557
154,0.67426
155,0.69069
156,0.68402
157,0.68199
158,0.68678
159,0.68891
160,0.68798
161,0.6931
162,0.67084
163,0.67857
164,0.67861
165,0.66643
166,0.68371
167,0.67609
168,0.67954
169,0.68197
170,0.6828
171,0.67299
172,0.67647
173,0.67985
174,0.67946
175,0.68449
176,0.68584
177,0.68935
178,0.68511
179,0.68945
180,0.68974
181,0.69641
182,0.68731
183,0.69028
184,0.68461
185,0.6756
186,0.68921
187,0.68417
188,0.6818
189,0.69985
190,0.68956
191,0.69096
192,0.69058
193,0.69434
194,0.69185
195,0.69652
196,0.69467
197,0.6927
198,0.69563
199,0.69892
200,0.69723
