Index,mAP50
1,0.15879
2,0.12816
3,0.12922
4,0.13471
5,0.14966
6,0.14075
7,0.18477
8,0.16863
9,0.16784
10,0.15586
11,0.16833
12,0.17672
13,0.17034
14,0.17743
15,0.18702
16,0.18951
17,0.18892
18,0.1991
19,0.2087
20,0.2116
21,0.49368
22,0.46707
23,0.43769
24,0.44285
25,0.4594
26,0.49093
27,0.50692
28,0.48344
29,0.50469
30,0.54192
31,0.4936
32,0.52574
33,0.51456
34,0.53074
35,0.52713
36,0.54344
37,0.53657
38,0.55608
39,0.56046
40,0.5688
41,0.56391
42,0.52629
43,0.49025
44,0.49413
45,0.53201
46,0.51185
47,0.54173
48,0.53374
49,0.57091
50,0.55027
51,0.55908
52,0.56452
53,0.56821
54,0.57725
55,0.58833
56,0.58329
57,0.61051
58,0.60363
59,0.59958
60,0.60846
61,0.55922
62,0.54562
63,0.51961
64,0.52386
65,0.538
66,0.54029
67,0.55622
68,0.56389
69,0.58172
70,0.5919
71,0.56464
72,0.5701
73,0.57824
74,0.59093
75,0.59318
76,0.59103
77,0.60102
78,0.60771
79,0.61157
80,0.61518
81,0.60536
82,0.58055
83,0.58028
84,0.5734
85,0.5768
86,0.57292
87,0.58699
88,0.58886
89,0.59181
90,0.60358
91,0.58549
92,0.60058
93,0.60348
94,0.60818
95,0.60703
96,0.61257
97,0.62659
98,0.6167
99,0.61989
100,0.62653
101,0.60726
102,0.60618
103,0.59788
104,0.59367
105,0.59448
106,0.59687
107,0.59702
108,0.59987
109,0.59812
110,0.61433
111,0.61148
112,0.61805
113,0.62505
114,0.62133
115,0.62251
116,0.63051
117,0.63602
118,0.63772
119,0.64373
120,0.6423
121,0.63751
122,0.61924
123,0.60813
124,0.60446
125,0.61088
126,0.62024
127,0.60596
128,0.61247
129,0.63164
130,0.63372
131,0.62611
132,0.6265
133,0.62064
134,0.63595
135,0.64279
136,0.62602
137,0.63216
138,0.63815
139,0.64974
140,0.64869
141,0.64151
142,0.63828
143,0.62125
144,0.6245
145,0.6246
146,0.62573
147,0.64155
148,0.63406
149,0.64177
150,0.64311
151,0.63143
152,0.64462
153,0.63692
154,0.64085
155,0.64601
156,0.64645
157,0.65348
158,0.65349
159,0.65483
160,0.65764
161,0.64899
162,0.64387
163,0.62417
164,0.63176
165,0.64143
166,0.63993
167,0.65479
168,0.63729
169,0.64464
170,0.64127
171,0.63368
172,0.63868
173,0.64591
174,0.64404
175,0.65497
176,0.65189
177,0.65422
178,0.6579
179,0.65111
180,0.6591
181,0.65525
182,0.64853
183,0.63658
184,0.64167
185,0.62975
186,0.64039
187,0.64835
188,0.64648
189,0.64715
190,0.64847
191,0.64397
192,0.64958
193,0.65073
194,0.65554
195,0.65881
196,0.65809
197,0.6583
198,0.66762
199,0.6643
200,0.66723
