Index,mAP50
1,0.32825
2,0.31236
3,0.25743
4,0.29076
5,0.29252
6,0.34402
7,0.28848
8,0.39144
9,0.38176
10,0.39988
11,0.38125
12,0.44074
13,0.45365
14,0.45006
15,0.42903
16,0.43603
17,0.47024
18,0.47253
19,0.48448
20,0.49532
21,0.48507
22,0.46442
23,0.43507
24,0.44508
25,0.45546
26,0.44883
27,0.45869
28,0.46774
29,0.48243
30,0.49143
31,0.48945
32,0.50438
33,0.51907
34,0.50892
35,0.52281
36,0.53069
37,0.53856
38,0.55504
39,0.54853
40,0.56491
41,0.552
42,0.5148
43,0.50474
44,0.48801
45,0.49579
46,0.51075
47,0.52575
48,0.54334
49,0.52046
50,0.53698
51,0.51583
52,0.528
53,0.53443
54,0.55535
55,0.54846
56,0.55574
57,0.57407
58,0.57747
59,0.57923
60,0.58662
61,0.5628
62,0.53851
63,0.52882
64,0.53862
65,0.54672
66,0.55131
67,0.54795
68,0.55111
69,0.57148
70,0.58324
71,0.56479
72,0.58294
73,0.58361
74,0.58603
75,0.59702
76,0.60745
77,0.61401
78,0.61462
79,0.61154
80,0.62286
81,0.59175
82,0.57952
83,0.56784
84,0.53988
85,0.56674
86,0.55434
87,0.58603
88,0.59251
89,0.59395
90,0.57812
91,0.59935
92,0.58469
93,0.59645
94,0.59848
95,0.59773
96,0.61269
97,0.61723
98,0.62346
99,0.61777
100,0.62697
101,0.61584
102,0.58388
103,0.59289
104,0.57962
105,0.58594
106,0.59609
107,0.60192
108,0.60406
109,0.61109
110,0.60145
111,0.60175
112,0.60615
113,0.60199
114,0.60716
115,0.62508
116,0.62815
117,0.63382
118,0.63179
119,0.63743
120,0.64019
121,0.62975
122,0.60329
123,0.60712
124,0.59909
125,0.59868
126,0.58483
127,0.61262
128,0.60555
129,0.61574
130,0.62161
131,0.61764
132,0.62352
133,0.62113
134,0.62041
135,0.62381
136,0.62872
137,0.63659
138,0.63478
139,0.6394
140,0.64012
141,0.63762
142,0.62427
143,0.61091
144,0.60904
145,0.61456
146,0.6062
147,0.6146
148,0.63023
149,0.6338
150,0.62882
151,0.61688
152,0.63107
153,0.61956
154,0.63225
155,0.63063
156,0.6419
157,0.64035
158,0.64498
159,0.64587
160,0.65345
161,0.63598
162,0.63582
163,0.60585
164,0.6282
165,0.61177
166,0.61958
167,0.62703
168,0.62376
169,0.62672
170,0.64423
171,0.63254
172,0.63837
173,0.63576
174,0.64157
175,0.64779
176,0.64338
177,0.64581
178,0.65112
179,0.65399
180,0.65225
181,0.64159
182,0.62976
183,0.62389
184,0.61697
185,0.62167
186,0.62947
187,0.63505
188,0.63269
189,0.64209
190,0.63932
191,0.62698
192,0.63486
193,0.63266
194,0.63818
195,0.64441
196,0.64327
197,0.64722
198,0.64563
199,0.6513
200,0.64901
