Index,mAP50
1,0.45191
2,0.40286
3,0.34745
4,0.37545
5,0.36809
6,0.35766
7,0.42794
8,0.44511
9,0.48808
10,0.50143
11,0.46627
12,0.52207
13,0.51002
14,0.52745
15,0.56591
16,0.55753
17,0.57655
18,0.57607
19,0.58456
20,0.58111
21,0.51454
22,0.50918
23,0.46843
24,0.41547
25,0.46889
26,0.49047
27,0.51014
28,0.5246
29,0.55777
30,0.55311
31,0.52943
32,0.53038
33,0.56311
34,0.58536
35,0.56693
36,0.58266
37,0.6039
38,0.60103
39,0.60902
40,0.62231
41,0.59129
42,0.5236
43,0.49718
44,0.54555
45,0.54367
46,0.54808
47,0.56056
48,0.5651
49,0.5791
50,0.60062
51,0.60905
52,0.59678
53,0.60359
54,0.6147
55,0.62867
56,0.63
57,0.62968
58,0.63567
59,0.64814
60,0.64655
61,0.6269
62,0.6058
63,0.57994
64,0.59274
65,0.57904
66,0.6047
67,0.5982
68,0.62654
69,0.62465
70,0.62204
71,0.61206
72,0.6278
73,0.62213
74,0.63723
75,0.64197
76,0.65079
77,0.64734
78,0.6653
79,0.66142
80,0.66917
81,0.65767
82,0.62335
83,0.60662
84,0.61935
85,0.58434
86,0.614
87,0.61936
88,0.62656
89,0.63131
90,0.62809
91,0.60219
92,0.63382
93,0.62985
94,0.6478
95,0.6446
96,0.66169
97,0.65532
98,0.65728
99,0.65844
100,0.66976
101,0.65075
102,0.63199
103,0.62967
104,0.65159
105,0.63207
106,0.63602
107,0.6502
108,0.64377
109,0.65288
110,0.64853
111,0.64216
112,0.65512
113,0.66285
114,0.65297
115,0.66912
116,0.66209
117,0.67031
118,0.67898
119,0.6812
120,0.68183
121,0.67518
122,0.6543
123,0.64828
124,0.628
125,0.63327
126,0.64356
127,0.64672
128,0.64406
129,0.65791
130,0.66345
131,0.64153
132,0.64453
133,0.65081
134,0.65523
135,0.66534
136,0.66545
137,0.65996
138,0.66564
139,0.66805
140,0.67134
141,0.66487
142,0.6591
143,0.63796
144,0.64824
145,0.64813
146,0.64838
147,0.64952
148,0.65779
149,0.66024
150,0.66541
151,0.64936
152,0.66385
153,0.65554
154,0.66277
155,0.66928
156,0.66901
157,0.6757
158,0.67627
159,0.68111
160,0.68323
161,0.67162
162,0.65571
163,0.64479
164,0.65725
165,0.64397
166,0.65348
167,0.64631
168,0.66366
169,0.66554
170,0.6689
171,0.668
172,0.66605
173,0.66472
174,0.67006
175,0.67455
176,0.66696
177,0.67779
178,0.67355
179,0.67468
180,0.6806
181,0.67113
182,0.66213
183,0.64784
184,0.64917
185,0.66104
186,0.65312
187,0.66182
188,0.65575
189,0.66495
190,0.66852
191,0.66334
192,0.65865
193,0.65904
194,0.66369
195,0.67169
196,0.67188
197,0.67296
198,0.67903
199,0.67717
200,0.67566
